date,rank,id_emailed,id_viewed,id_facebook
2019-02-24,1,10264,7424,10264
2019-02-24,2,2171,2942,6089
2019-02-24,3,10291,719,12610
2019-02-24,4,11371,2247,10291
2019-02-24,5,6089,755,636
2019-02-24,6,249,2849,10084
2019-02-24,7,10187,1099,134
2019-02-24,8,298,9969,78
2019-02-24,9,12855,2171,7409
2019-02-24,10,1824,1972,3763
2019-02-24,11,3159,6089,2171
2019-02-24,12,955,8312,7424
2019-02-24,13,7257,10252,11371
2019-02-24,14,6522,75,6522
2019-02-24,15,4958,12044,7227
2019-02-24,16,636,13292,4423
2019-02-24,17,12064,1128,955
2019-02-24,18,12649,11739,9029
2019-02-24,19,10084,13767,8361
2019-02-24,20,3465,781,12855
2019-03-01,1,12054,10264,2620
2019-03-01,2,6380,12398,6524
2019-03-01,3,7177,30,1471
2019-03-01,4,8793,2171,2558
2019-03-01,5,7067,6089,10264
2019-03-01,6,6528,2942,8793
2019-03-01,7,1471,2620,10366
2019-03-01,8,10298,7424,2330
2019-03-01,9,10264,9969,7177
2019-03-01,10,10366,10690,8530
2019-03-01,11,7996,6740,5789
2019-03-01,12,8250,4423,10188
2019-03-01,13,1955,12044,10830
2019-03-01,14,9526,4334,8361
2019-03-01,15,7852,75,5565
2019-03-01,16,10868,134,4042
2019-03-01,17,8606,10831,11571
2019-03-01,18,10107,10291,2376
2019-03-01,19,10027,10187,2886
2019-03-01,20,3024,298,281
2019-03-02,1,13634,10264,8884
2019-03-02,2,6380,12398,922
2019-03-02,3,9379,30,13634
2019-03-02,4,9548,2171,3703
2019-03-02,5,10958,6089,5565
2019-03-02,6,8793,2620,8793
2019-03-02,7,3703,9969,2330
2019-03-02,8,4302,2330,2620
2019-03-02,9,4297,10187,10264
2019-03-02,10,240,10690,10188
2019-03-02,11,7067,7424,1471
2019-03-02,12,13161,6740,6524
2019-03-02,13,7885,7580,9548
2019-03-02,14,1955,4423,13289
2019-03-02,15,5535,4334,2473
2019-03-02,16,1407,12044,13356
2019-03-02,17,12054,134,5535
2019-03-02,18,13289,10831,1265
2019-03-02,19,853,298,5992
2019-03-02,20,10188,10107,9517
2019-03-03,1,6439,10264,8884
2019-03-03,2,9999,12398,922
2019-03-03,3,3703,30,3703
2019-03-03,4,7885,2330,7885
2019-03-03,5,4414,6089,13634
2019-03-03,6,13634,2620,2620
2019-03-03,7,6380,2171,1471
2019-03-03,8,3965,10187,10264
2019-03-03,9,7067,10690,7424
2019-03-03,10,12054,7580,6524
2019-03-03,11,9379,6740,6308
2019-03-03,12,13697,4423,6466
2019-03-03,13,12690,8793,9301
2019-03-03,14,7119,4334,3818
2019-03-03,15,12015,134,8793
2019-03-03,16,1313,10831,11005
2019-03-03,17,3879,7424,9548
2019-03-03,18,11081,10107,1265
2019-03-03,19,1938,8883,9254
2019-03-03,20,13161,298,5565
2019-03-04,1,9234,10264,4078
2019-03-04,2,11498,12398,5684
2019-03-04,3,3818,30,3818
2019-03-04,4,9379,2330,5852
2019-03-04,5,5684,2620,9301
2019-03-04,6,9999,10187,13728
2019-03-04,7,6439,10690,7245
2019-03-04,8,13537,7580,3703
2019-03-04,9,3703,6740,2620
2019-03-04,10,7067,8793,6308
2019-03-04,11,7885,2171,10264
2019-03-04,12,4302,4334,6466
2019-03-04,13,12054,10831,922
2019-03-04,14,281,7424,11005
2019-03-04,15,104,10107,13634
2019-03-04,16,7029,8883,13289
2019-03-04,17,6466,6089,2194
2019-03-04,18,2690,7976,10958
2019-03-04,19,13634,3943,6524
2019-03-04,20,11005,13289,7424
2019-03-05,1,1724,12398,4078
2019-03-05,2,5684,2330,10312
2019-03-05,3,4078,2620,5684
2019-03-05,4,9234,30,6683
2019-03-05,5,9999,3965,7378
2019-03-05,6,12778,10264,1724
2019-03-05,7,9937,4078,4076
2019-03-05,8,13407,10312,12729
2019-03-05,9,6439,10690,9311
2019-03-05,10,2127,7580,9926
2019-03-05,11,6862,8793,13728
2019-03-05,12,1000,13289,6308
2019-03-05,13,2267,4334,10264
2019-03-05,14,11678,10107,12778
2019-03-05,15,10312,9301,13289
2019-03-05,16,2818,8883,451
2019-03-05,17,11005,7424,3151
2019-03-05,18,12054,7976,9301
2019-03-05,19,12370,3943,2194
2019-03-05,20,10264,9379,9999
2019-03-06,1,10047,10312,10312
2019-03-06,2,9888,12398,5684
2019-03-06,3,9768,2330,8491
2019-03-06,4,1724,2620,13383
2019-03-06,5,10312,3965,10047
2019-03-06,6,2189,4078,9311
2019-03-06,7,10338,9301,13830
2019-03-06,8,9301,7580,5180
2019-03-06,9,1692,8793,1724
2019-03-06,10,983,10264,4078
2019-03-06,11,8434,13289,12729
2019-03-06,12,922,4334,9926
2019-03-06,13,6380,7378,6308
2019-03-06,14,13598,8883,10634
2019-03-06,15,5684,9999,612
2019-03-06,16,198,9379,7378
2019-03-06,17,8477,7424,4418
2019-03-06,18,7375,12729,9301
2019-03-06,19,9824,1471,2189
2019-03-06,20,6439,3943,10264
2019-03-07,1,8532,10312,8491
2019-03-07,2,10264,12398,5684
2019-03-07,3,8434,2330,13383
2019-03-07,4,10338,3965,10312
2019-03-07,5,773,4078,13830
2019-03-07,6,6116,2620,7846
2019-03-07,7,10691,9301,6615
2019-03-07,8,6615,13383,7587
2019-03-07,9,13598,7580,10264
2019-03-07,10,8146,6615,5772
2019-03-07,11,5772,8793,10047
2019-03-07,12,1372,13289,5180
2019-03-07,13,4705,10264,4090
2019-03-07,14,6695,7378,654
2019-03-07,15,8491,8491,13339
2019-03-07,16,10047,5684,13598
2019-03-07,17,750,9999,8434
2019-03-07,18,4090,12729,8532
2019-03-07,19,380,9379,2188
2019-03-07,20,1253,1471,9460
2019-03-08,1,12725,10312,12725
2019-03-08,2,10338,2330,5684
2019-03-08,3,8532,3965,1865
2019-03-08,4,11276,4078,11276
2019-03-08,5,6509,9301,8532
2019-03-08,6,7241,6615,10264
2019-03-08,7,4050,13383,8491
2019-03-08,8,12005,7580,7587
2019-03-08,9,10264,8793,10312
2019-03-08,10,8434,13289,12014
2019-03-08,11,4090,8491,13383
2019-03-08,12,2038,5684,654
2019-03-08,13,0,12725,9460
2019-03-08,14,8146,7378,13830
2019-03-08,15,5684,10264,9560
2019-03-08,16,773,8434,4090
2019-03-08,17,2616,9999,627
2019-03-08,18,1865,12729,7479
2019-03-08,19,750,9379,5180
2019-03-08,20,2090,6451,3034
2019-03-09,1,4050,10312,12725
2019-03-09,2,6551,3965,5684
2019-03-09,3,3546,4078,11276
2019-03-09,4,11276,9301,3546
2019-03-09,5,10657,6615,2740
2019-03-09,6,12725,13383,12754
2019-03-09,7,8532,12725,1703
2019-03-09,8,11556,11276,4050
2019-03-09,9,12754,5684,10264
2019-03-09,10,2566,8491,1865
2019-03-09,11,1703,2330,10795
2019-03-09,12,8453,12005,8532
2019-03-09,13,6509,7378,9944
2019-03-09,14,13009,8434,654
2019-03-09,15,7842,9999,8491
2019-03-09,16,2740,10264,10312
2019-03-09,17,5021,12729,2980
2019-03-09,18,773,13289,13383
2019-03-09,19,12005,9379,9391
2019-03-09,20,9391,6451,1375
2019-03-10,1,10657,10312,5684
2019-03-10,2,6551,3965,12725
2019-03-10,3,10699,4078,3546
2019-03-10,4,1333,9301,724
2019-03-10,5,2073,6615,10148
2019-03-10,6,7946,13383,11276
2019-03-10,7,8532,12725,1703
2019-03-10,8,11744,11276,2740
2019-03-10,9,8501,5684,12754
2019-03-10,10,9391,8491,2980
2019-03-10,11,4050,2330,10264
2019-03-10,12,5684,12005,10795
2019-03-10,13,10661,7378,8532
2019-03-10,14,10712,8434,4050
2019-03-10,15,1987,9999,5021
2019-03-10,16,1703,10264,9944
2019-03-10,17,11042,12729,8491
2019-03-10,18,4705,13289,1865
2019-03-10,19,9194,9379,9391
2019-03-10,20,8453,6451,6308
2019-03-12,1,13210,10312,6643
2019-03-12,2,8485,12005,7973
2019-03-12,3,6643,12725,13668
2019-03-12,4,7749,13668,11289
2019-03-12,5,7172,11064,3459
2019-03-12,6,1709,4078,971
2019-03-12,7,10657,11276,5684
2019-03-12,8,596,6615,1215
2019-03-12,9,4006,13383,13210
2019-03-12,10,8358,5684,724
2019-03-12,11,3659,8491,3546
2019-03-12,12,2448,10657,12725
2019-03-12,13,12331,9354,3171
2019-03-12,14,11663,8434,5590
2019-03-12,15,5744,13598,11372
2019-03-12,16,10661,7378,4006
2019-03-12,17,11908,9301,560
2019-03-12,18,7649,11354,8917
2019-03-12,19,7973,12729,78
2019-03-12,20,9391,11372,1333
2019-03-14,1,8485,6643,6643
2019-03-14,2,3625,8917,8917
2019-03-14,3,953,1709,4931
2019-03-14,4,6643,12005,13406
2019-03-14,5,3561,13668,5732
2019-03-14,6,10995,12725,11319
2019-03-14,7,5707,11064,3171
2019-03-14,8,8917,11276,7041
2019-03-14,9,13210,6615,7973
2019-03-14,10,749,13406,4398
2019-03-14,11,13406,4253,8485
2019-03-14,12,8358,7041,5684
2019-03-14,13,4071,10657,3625
2019-03-14,14,507,8491,10995
2019-03-14,15,10887,11354,1215
2019-03-14,16,7898,10312,8358
2019-03-14,17,718,9354,4253
2019-03-14,18,6811,5684,3459
2019-03-14,19,1376,11372,724
2019-03-14,20,12443,1333,3546
2019-03-15,1,8485,6643,6643
2019-03-15,2,953,8917,8917
2019-03-15,3,3561,1709,4931
2019-03-15,4,543,12005,4398
2019-03-15,5,3625,13668,6847
2019-03-15,6,5707,12725,13406
2019-03-15,7,8917,11064,7041
2019-03-15,8,10995,11276,3171
2019-03-15,9,13406,6615,5732
2019-03-15,10,6643,13406,7973
2019-03-15,11,9134,4253,11319
2019-03-15,12,4071,7041,8485
2019-03-15,13,8358,10657,2132
2019-03-15,14,13210,8491,5684
2019-03-15,15,9484,11354,3625
2019-03-15,16,749,10312,1215
2019-03-15,17,8189,9354,10995
2019-03-15,18,5324,5684,724
2019-03-15,19,7898,11372,78
2019-03-15,20,3641,1333,8358
2019-03-16,1,543,6643,9992
2019-03-16,2,9484,8917,9627
2019-03-16,3,635,1709,4398
2019-03-16,4,3692,12005,6847
2019-03-16,5,8736,13668,4931
2019-03-16,6,9134,12725,12315
2019-03-16,7,953,11064,2132
2019-03-16,8,5324,11276,8917
2019-03-16,9,13114,13406,7661
2019-03-16,10,297,4253,3171
2019-03-16,11,3632,7041,9992
2019-03-16,12,8189,10657,5324
2019-03-16,13,7969,5391,6643
2019-03-16,14,3103,11354,1740
2019-03-16,15,4340,9354,7973
2019-03-16,16,7898,11372,509
2019-03-16,17,3641,4931,10124
2019-03-16,18,8485,509,7041
2019-03-16,19,8358,6847,78
2019-03-16,20,2132,1333,13668
2019-03-17,1,1592,6643,2702
2019-03-17,2,4878,8917,1592
2019-03-17,3,3844,509,9992
2019-03-17,4,5966,1709,12315
2019-03-17,5,7525,9992,4878
2019-03-17,6,8485,13668,9627
2019-03-17,7,4521,13406,11003
2019-03-17,8,4962,11064,5063
2019-03-17,9,2813,7041,3171
2019-03-17,10,12233,4253,78
2019-03-17,11,8736,10657,5094
2019-03-17,12,953,5391,5982
2019-03-17,13,3692,11354,8917
2019-03-17,14,1750,12005,6582
2019-03-17,15,13210,6847,6061
2019-03-17,16,6215,4931,6813
2019-03-17,17,5283,9354,1740
2019-03-17,18,7562,11372,60
2019-03-17,19,307,11276,7661
2019-03-17,20,7749,1333,5180
2019-03-18,1,4878,6643,1592
2019-03-18,2,1592,8917,60
2019-03-18,3,5966,509,4878
2019-03-18,4,3844,9992,3844
2019-03-18,5,14023,1709,10361
2019-03-18,6,2032,13668,490
2019-03-18,7,8485,13406,6643
2019-03-18,8,5848,11064,3171
2019-03-18,9,3981,10657,2702
2019-03-18,10,8531,7041,78
2019-03-18,11,6215,4253,13821
2019-03-18,12,7122,5391,5180
2019-03-18,13,4521,11354,6126
2019-03-18,14,490,2702,1740
2019-03-18,15,8358,6847,5966
2019-03-18,16,2450,4931,5848
2019-03-18,17,7749,9354,8531
2019-03-18,18,11909,8485,1787
2019-03-18,19,953,11454,9627
2019-03-18,20,543,11372,5982
2019-03-19,1,1592,6643,1592
2019-03-19,2,9925,8917,1678
2019-03-19,3,4516,509,9845
2019-03-19,4,7562,9992,13821
2019-03-19,5,4878,1709,4323
2019-03-19,6,13821,13406,11185
2019-03-19,7,3844,1592,4516
2019-03-19,8,2032,7041,3171
2019-03-19,9,4501,4253,4878
2019-03-19,10,11909,2702,3844
2019-03-19,11,10569,5391,6126
2019-03-19,12,9154,543,5180
2019-03-19,13,9473,8485,3575
2019-03-19,14,3890,11454,60
2019-03-19,15,9845,6847,3890
2019-03-19,16,8485,4931,78
2019-03-19,17,4188,3844,12013
2019-03-19,18,3395,10657,490
2019-03-19,19,12195,1492,11477
2019-03-19,20,3692,11908,5966
2019-03-20,1,4516,6643,11185
2019-03-20,2,3594,8917,1678
2019-03-20,3,10159,509,1592
2019-03-20,4,7920,9992,6843
2019-03-20,5,9845,1592,9845
2019-03-20,6,1529,13406,3594
2019-03-20,7,1592,4516,4516
2019-03-20,8,7642,2702,11824
2019-03-20,9,1026,4253,4371
2019-03-20,10,1861,7041,5626
2019-03-20,11,8841,5391,5115
2019-03-20,12,1678,3594,7642
2019-03-20,13,12195,1709,7920
2019-03-20,14,5913,543,3171
2019-03-20,15,5895,8485,1026
2019-03-20,16,4308,11454,13063
2019-03-20,17,5885,6847,6126
2019-03-20,18,8693,3844,4878
2019-03-20,19,11483,4931,78
2019-03-20,20,4878,1678,12195
2019-03-21,1,1026,509,11185
2019-03-21,2,8893,9992,1592
2019-03-21,3,5965,8917,11969
2019-03-21,4,11519,1592,4895
2019-03-21,5,1823,6643,4371
2019-03-21,6,6327,4516,1026
2019-03-21,7,12672,13406,1678
2019-03-21,8,3297,3594,6843
2019-03-21,9,1882,2702,3594
2019-03-21,10,4895,7041,1269
2019-03-21,11,1592,5391,11519
2019-03-21,12,2339,543,9845
2019-03-21,13,5925,11454,6085
2019-03-21,14,8525,3844,4878
2019-03-21,15,10969,4931,9329
2019-03-21,16,6085,6847,13333
2019-03-21,17,5895,1678,3575
2019-03-21,18,4371,9845,2898
2019-03-21,19,9100,5965,9605
2019-03-21,20,4516,10657,3171
2019-03-22,1,6085,509,4895
2019-03-22,2,3297,9992,3297
2019-03-22,3,1823,1592,1269
2019-03-22,4,6331,4516,11185
2019-03-22,5,4895,3594,1592
2019-03-22,6,6327,4895,6085
2019-03-22,7,2623,2702,13869
2019-03-22,8,1423,543,2751
2019-03-22,9,2211,5391,3575
2019-03-22,10,1592,11454,1678
2019-03-22,11,13483,3844,7413
2019-03-22,12,1882,1678,13333
2019-03-22,13,12533,6847,2211
2019-03-22,14,3072,1026,9329
2019-03-22,15,8893,5965,5180
2019-03-22,16,1269,9845,13334
2019-03-22,17,1861,10657,6126
2019-03-22,18,7462,4878,2623
2019-03-22,19,3798,78,3171
2019-03-22,20,10811,11969,13368
2019-03-23,1,6085,9992,13332
2019-03-23,2,6331,1592,13869
2019-03-23,3,6150,4895,4895
2019-03-23,4,13483,4516,1077
2019-03-23,5,2623,3594,10908
2019-03-23,6,1592,509,5932
2019-03-23,7,4915,2702,3297
2019-03-23,8,3072,11454,6085
2019-03-23,9,13332,3844,1592
2019-03-23,10,3527,13332,2623
2019-03-23,11,1823,1678,11185
2019-03-23,12,6670,5965,718
2019-03-23,13,7612,1026,6331
2019-03-23,14,3798,9845,3575
2019-03-23,15,8893,12533,5680
2019-03-23,16,8464,78,7413
2019-03-23,17,1951,3331,6670
2019-03-23,18,5965,4878,13333
2019-03-23,19,2652,11185,8361
2019-03-23,20,7462,10657,9329
2019-03-24,1,6085,9992,1077
2019-03-24,2,6150,1592,13869
2019-03-24,3,4157,4895,13332
2019-03-24,4,6684,4516,6085
2019-03-24,5,8929,3594,6684
2019-03-24,6,1592,509,4895
2019-03-24,7,9925,2702,11185
2019-03-24,8,4915,11454,6032
2019-03-24,9,12506,3844,3297
2019-03-24,10,665,13332,1592
2019-03-24,11,9469,1678,5680
2019-03-24,12,6331,5965,10908
2019-03-24,13,8464,1026,5932
2019-03-24,14,1951,9845,3575
2019-03-24,15,11190,12533,2623
2019-03-24,16,6960,78,13879
2019-03-24,17,9645,3331,13333
2019-03-24,18,4174,4878,7413
2019-03-24,19,13693,11185,8361
2019-03-24,20,5970,10657,3595
2019-03-25,1,6958,1592,1077
2019-03-25,2,6085,4895,4287
2019-03-25,3,8929,4516,13869
2019-03-25,4,4157,3594,13332
2019-03-25,5,11264,13332,6684
2019-03-25,6,6684,2702,6085
2019-03-25,7,12803,5965,6032
2019-03-25,8,1592,3844,4895
2019-03-25,9,6984,1678,3297
2019-03-25,10,6150,1026,1592
2019-03-25,11,9469,9845,11185
2019-03-25,12,4915,12533,3575
2019-03-25,13,9925,13483,5680
2019-03-25,14,13483,11185,13879
2019-03-25,15,8464,78,13333
2019-03-25,16,4287,4878,5932
2019-03-25,17,13575,3331,2623
2019-03-25,18,4174,11454,7413
2019-03-25,19,12506,10657,9329
2019-03-25,20,665,10756,10908
2019-03-26,1,8631,4895,13327
2019-03-26,2,7148,1592,9242
2019-03-26,3,397,4516,397
2019-03-26,4,5123,4287,5989
2019-03-26,5,4354,3594,11307
2019-03-26,6,6085,13332,11487
2019-03-26,7,4174,5965,8631
2019-03-26,8,6340,1678,12555
2019-03-26,9,3815,13483,1592
2019-03-26,10,12555,1026,7148
2019-03-26,11,1592,12533,4287
2019-03-26,12,3465,10756,4157
2019-03-26,13,2489,9845,6684
2019-03-26,14,8587,2489,9387
2019-03-26,15,4157,11185,3575
2019-03-26,16,6958,78,13879
2019-03-26,17,1234,3331,7413
2019-03-26,18,13575,6085,6426
2019-03-26,19,10551,11969,2489
2019-03-26,20,13483,4878,3171
2019-03-27,1,8631,4895,8634
2019-03-27,2,1969,4287,8631
2019-03-27,3,7148,4516,12723
2019-03-27,4,9679,1592,9780
2019-03-27,5,7456,13332,7148
2019-03-27,6,7870,3594,1969
2019-03-27,7,12461,2489,12461
2019-03-27,8,8983,5965,13327
2019-03-27,9,10584,1678,9242
2019-03-27,10,1091,13483,5180
2019-03-27,11,8058,1026,14114
2019-03-27,12,6156,10756,7096
2019-03-27,13,6085,12533,3199
2019-03-27,14,656,6085,501
2019-03-27,15,7096,9845,3575
2019-03-27,16,6958,11185,11487
2019-03-27,17,6684,78,1592
2019-03-27,18,10233,3331,13879
2019-03-27,19,9990,11969,7413
2019-03-27,20,11246,13327,7870
2019-03-28,1,8631,4895,14114
2019-03-28,2,6444,4287,8631
2019-03-28,3,6729,13332,12723
2019-03-28,4,7291,8631,10325
2019-03-28,5,10693,2489,5967
2019-03-28,6,9566,7148,13508
2019-03-28,7,5171,5965,10693
2019-03-28,8,6830,13483,7148
2019-03-28,9,9118,10756,4385
2019-03-28,10,11752,8634,3575
2019-03-28,11,8929,12533,9780
2019-03-28,12,1796,6085,13879
2019-03-28,13,7782,1026,8634
2019-03-28,14,4110,9780,7096
2019-03-28,15,9840,78,4157
2019-03-28,16,8487,3331,6426
2019-03-28,17,11888,13327,5180
2019-03-28,18,10493,1592,4422
2019-03-28,19,10325,11969,8361
2019-03-28,20,11722,397,1969
2019-03-29,1,4835,4835,4835
2019-03-29,2,9782,4895,5822
2019-03-29,3,8631,4287,8631
